name,address,suburb,industry,longitude,latitude,indoor,outdoor
Cafe Sua Da,258 Elgin Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96553,-37.79671,45,6
Brother Bull,832-834 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9649,-37.79668,42,0
Clyde Hotel,377-391 Cardigan Street CARLTON 3053,Carlton,"Pubs, Taverns and Bars",144.96575,-37.79726,70,50
The Longing Flavour,768-804 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96517,-37.79783,50,0
Masters Of Burgerology,768-804 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96517,-37.79783,50,16
Wild Timor Coffee Carlton Pty Ltd,249-263 Faraday Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96526,-37.79872,17,24
Toothpicks Cafe,714-736 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96489,-37.79947,60,36
Claypot Kingdom,740-750 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96476,-37.799,40,0
E Dumpling,740-750 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96476,-37.799,32,8
Thresherman's Bakehouse,221-229 Faraday Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96673,-37.79886,70,50
New York Minute,235-237 Faraday Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9663,-37.79881,33,24
Dumpling ADA,205-207 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96656,-37.80046,35,16
Il Cantuccio Restaurant,209 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9666,-37.80042,100,20
Papa Gino's Pizza Restaurant,219-221 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96672,-37.80019,100,40
Cafe Corretto,225-229 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96674,-37.80005,60,55
New Zealand Natural Ice Cream,241 Lygon Street CARLTON 3053,Carlton,Takeaway Food Services,144.96679,-37.79978,0,16
La Parisienne Pates,253 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96683,-37.79954,38,12
University Cafe,255-257 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96684,-37.79948,120,56
Lygon Food Store,263 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96687,-37.7993,29,45
Tiamo Coffee,303 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96709,-37.79822,50,29
Tiamo 2,305 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96708,-37.79818,125,29
Milk The Cow,323 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96713,-37.79777,80,20
Heartattack and Vine,329 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96715,-37.79764,35,16
Jimmy Watsons,331-335 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96717,-37.79751,120,28
Intersection Cafe,337-343 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96723,-37.79735,39,6
Le Miel Et Le Lune,330-332 Cardigan Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96638,-37.79686,35,8
Adonai Foods,478 Drummond Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96921,-37.79477,30,16
Chong Quing,570 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96904,-37.79314,66,0
Rathdowne & Reeves Cafe,497-513 Rathdowne Street CARLTON 3053,Carlton,Cafes and Restaurants,144.97077,-37.79366,48,22
Curry in Carlton,192 Elgin Street CARLTON 3053,Carlton,Takeaway Food Services,144.96816,-37.79698,20,6
Green Man's Arms,414-422 Lygon Street CARLTON 3053,Carlton,"Pubs, Taverns and Bars",144.96781,-37.79695,40,0
Campos Coffee,138-144 Elgin Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96981,-37.79715,36,12
