Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,longitude,latitude,Location
2019,203,103123,103123,258 Elgin Street CARLTON 3053,Carlton,Cafe Sua Da,4511,Cafes and Restaurants,Seats - Indoor,45,144.96553,-37.79671,POINT (144.9655339 -37.79670704)
2019,203,103123,103123,258 Elgin Street CARLTON 3053,Carlton,Cafe Sua Da,4511,Cafes and Restaurants,Seats - Outdoor,6,144.96553,-37.79671,POINT (144.9655339 -37.79670704)
2019,203,109358,109358,832-834 Swanston Street CARLTON 3053,Carlton,Brother Bull,4511,Cafes and Restaurants,Seats - Indoor,42,144.9649,-37.79668,POINT (144.9649 -37.79668018)
2019,204,101613,101613,377-391 Cardigan Street CARLTON 3053,Carlton,Clyde Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,70,144.96575,-37.79726,POINT (144.9657543 -37.7972554)
2019,204,101613,101613,377-391 Cardigan Street CARLTON 3053,Carlton,Clyde Hotel,4520,"Pubs, Taverns and Bars",Seats - Outdoor,50,144.96575,-37.79726,POINT (144.9657543 -37.7972554)
2019,204,109359,109359,768-804 Swanston Street CARLTON 3053,Carlton,The Longing Flavour,4511,Cafes and Restaurants,Seats - Indoor,50,144.96517,-37.79783,POINT (144.9651744 -37.79783266)
2019,204,109359,109359,768-804 Swanston Street CARLTON 3053,Carlton,Masters Of Burgerology,4511,Cafes and Restaurants,Seats - Indoor,50,144.96517,-37.79783,POINT (144.9651744 -37.79783266)
2019,204,109359,109359,768-804 Swanston Street CARLTON 3053,Carlton,Masters Of Burgerology,4511,Cafes and Restaurants,Seats - Outdoor,16,144.96517,-37.79783,POINT (144.9651744 -37.79783266)
2019,205,512713,512713,249-263 Faraday Street CARLTON 3053,Carlton,Wild Timor Coffee Carlton Pty Ltd,4511,Cafes and Restaurants,Seats - Indoor,17,144.96526,-37.79872,POINT (144.9652569 -37.79872084)
2019,205,512713,512713,249-263 Faraday Street CARLTON 3053,Carlton,Wild Timor Coffee Carlton Pty Ltd,4511,Cafes and Restaurants,Seats - Outdoor,24,144.96526,-37.79872,POINT (144.9652569 -37.79872084)
